證券代碼,公司名稱,西元年份,製程水回收率%,水回收率%,再生能源使用率,水電設備成本,營業費用率,營業利益率,Tobins Q,Tobins Q (A),研究發展費,研究發展費用率,資產總額,負債比率,TSE 產業別,TSE產業_代碼,TSE產業_名稱,設立日期,水電設備CAPEX新增額,Tobins Q_w,Tobins Q (A)_w,水電設備CAPEX新增額_w,營業費用率_t+1,營業費用率_t+3,營業費用率_t+5,營業利益率_t+1,營業利益率_t+3,營業利益率_t+5,Tobins Q_w_t+1,Tobins Q_w_t+3,Tobins Q_w_t+5,Tobins Q (A)_w_t+1,Tobins Q (A)_w_t+3,Tobins Q (A)_w_t+5,設立年,企業年齡,水回收率x再生能源,製程水回收率x再生能源,LN資產總額
1333,恩得利,2013,,,0.0,0.0,17.47,1.3,0.71,0.71,26237.0,2.25,1269722.0,52.36,28.0,M2328,電子零組件,19931016.0,0.0,0.71,0.71,0.0,17.44,30.04,49.25,-3.06,-12.46,-33.04,1.0,0.59,0.42,1.0,0.59,0.42,1993.0,20.0,,,14.054308536835395
1333,恩得利,2014,,,0.0,0.0,17.44,-3.06,1.0,1.0,12821.0,1.09,1269502.0,57.85,28.0,M2328,電子零組件,19931016.0,0.0,1.0,1.0,0.0,21.82,36.17,25.54,-7.26,-24.0,0.22,0.8,0.59,0.52,0.8,0.59,0.52,1993.0,21.0,,,14.054135255549024
1333,恩得利,2015,,,0.0,0.0,21.82,-7.26,0.8,0.8,11237.0,1.32,1088225.0,56.6,28.0,M2328,電子零組件,19931016.0,0.0,0.8,0.8,0.0,30.04,49.25,,-12.46,-33.04,,0.59,0.42,,0.59,0.42,,1993.0,22.0,,,13.900058486488136
1333,恩得利,2016,,,0.0,0.0,30.04,-12.46,0.59,0.59,11382.0,2.01,886959.0,56.79,28.0,M2328,電子零組件,19931016.0,0.0,0.59,0.59,0.0,36.17,25.54,,-24.0,0.22,,0.59,0.52,,0.59,0.52,,1993.0,23.0,,,13.695554036999038
1333,恩得利,2017,,,0.0,0.0,36.17,-24.0,0.59,0.59,14431.0,3.45,597455.0,49.69,28.0,M2328,電子零組件,19931016.0,0.0,0.59,0.59,0.0,49.25,,,-33.04,,,0.42,,,0.42,,,1993.0,24.0,,,13.300434246144045
1333,恩得利,2018,,,0.0,0.0,49.25,-33.04,0.42,0.42,7025.0,1.79,412251.0,55.51,28.0,M2328,電子零組件,19931016.0,0.0,0.42,0.42,0.0,25.54,,,0.22,,,0.52,,,0.52,,,1993.0,25.0,,,12.929387666131456
1333,恩得利,2019,,,0.0,0.0,25.54,0.22,0.52,0.52,481.0,0.17,419969.0,60.49,28.0,M2328,電子零組件,19931016.0,0.0,0.52,0.52,0.0,,,,,,,,,,,,,1993.0,26.0,,,12.947936178011684
1336,台翰,2013,,,0.0,0.0,9.05,0.39,0.49,0.49,2.0,0.0,2633323.0,41.73,28.0,M2328,電子零組件,19870828.0,0.0,0.49,0.49,0.0,10.39,14.4,9.41,-2.58,-6.53,6.02,0.58,0.58,0.65,0.58,0.58,0.65,1987.0,26.0,,,14.783757104710809
1336,台翰,2014,,,0.0,0.0,10.39,-2.58,0.58,0.58,0.0,0.0,2738405.0,43.08,28.0,M2328,電子零組件,19870828.0,0.0,0.58,0.58,0.0,12.33,8.51,10.4,-10.18,8.43,4.84,0.53,0.78,0.66,0.53,0.78,0.66,1987.0,27.0,,,14.822886192080173
1336,台翰,2015,,,0.0,0.0,12.33,-10.18,0.53,0.53,0.0,0.0,2717955.0,48.84,28.0,M2328,電子零組件,19870828.0,0.0,0.53,0.53,0.0,14.4,9.41,11.7,-6.53,6.02,3.65,0.58,0.65,0.91,0.58,0.65,0.91,1987.0,28.0,,,14.815390317264779
