模型,應變數,變數,係數,標準誤,t值,p值,N,R2_within
模型1-基礎效應 | Y=Tobins Q_w,Tobins_Q_w,水回收率%,0.00634307383128148,0.005501877572792127,1.1528925802800911,0.2513246632781323,196,0.0349313043142403
模型1-基礎效應 | Y=Tobins Q_w,Tobins_Q_w,再生能源使用率,0.0042814633725554605,0.0049751849458039565,0.860563661289903,0.39125359878029364,196,0.0349313043142403
模型1-基礎效應 | Y=Tobins Q_w,Tobins_Q_w,研究發展費用率,-0.05321630083137086,0.028300440927227912,-1.8804053607578726,0.06256084553568808,196,0.0349313043142403
模型1-基礎效應 | Y=Tobins Q_w,Tobins_Q_w,LN資產總額,-0.32717511396834226,0.2266082897461989,-1.443791462063361,0.15149300997350257,196,0.0349313043142403
模型1-基礎效應 | Y=Tobins Q_w,Tobins_Q_w,負債比率,7.095394446086399e-05,0.006764618516737479,0.010488979428079338,0.9916491766821134,196,0.0349313043142403
模型1-基礎效應 | Y=營業費用率,營業費用率,水回收率%,-0.002239382781328459,0.012797198208806463,-0.1749900833596072,0.8613924973968332,196,0.7737022395133646
模型1-基礎效應 | Y=營業費用率,營業費用率,再生能源使用率,0.017279059617389795,0.010793571248780153,1.6008658505258495,0.11212658572194201,196,0.7737022395133646
模型1-基礎效應 | Y=營業費用率,營業費用率,研究發展費用率,1.5189292996686845,0.11037057293861398,13.762085846138392,0.0,196,0.7737022395133646
模型1-基礎效應 | Y=營業費用率,營業費用率,LN資產總額,-1.7298848885240123,0.9799544171013734,-1.7652707700842587,0.08014971814309457,196,0.7737022395133646
模型1-基礎效應 | Y=營業費用率,營業費用率,負債比率,0.0753428850091512,0.033315964167182605,2.261464943084751,0.02559392632468005,196,0.7737022395133646
模型2-水能互補綜效 | Y=Tobins Q_w,Tobins_Q_w,水回收率%,0.006772329183196597,0.005544404874968725,1.2214708946981074,0.22440589572985314,196,0.03172420065460457
模型2-水能互補綜效 | Y=Tobins Q_w,Tobins_Q_w,再生能源使用率,-0.0031280228984165775,0.004743453904670443,-0.65943992737796,0.5109317150589354,196,0.03172420065460457
模型2-水能互補綜效 | Y=Tobins Q_w,Tobins_Q_w,水回收率x再生能源,0.0010928584269512993,0.0004719223734772245,2.3157588797896693,0.02234391668766844,196,0.03172420065460457
