設定,應變數,模型標籤,變數,係數(顯著),p值,N
S1-三大電子 | W1-水回收率,Tobins_Q_w,[S1-三大電子 | W1-水回收率] 模型1 | Y=Tobins Q_w,水回收率%,0.0063,0.25132466327813163,196
S1-三大電子 | W1-水回收率,Tobins_Q_w,[S1-三大電子 | W1-水回收率] 模型1 | Y=Tobins Q_w,再生能源使用率,0.0043,0.39125359878029387,196
S1-三大電子 | W1-水回收率,Tobins_Q_w,[S1-三大電子 | W1-水回收率] 模型2 | Y=Tobins Q_w,水回收率%,0.0068,0.22440589572985314,196
S1-三大電子 | W1-水回收率,Tobins_Q_w,[S1-三大電子 | W1-水回收率] 模型2 | Y=Tobins Q_w,再生能源使用率,-0.0031,0.5109317150589361,196
S1-三大電子 | W1-水回收率,Tobins_Q_w,[S1-三大電子 | W1-水回收率] 模型2 | Y=Tobins Q_w,水回收率x再生能源,0.0011**,0.022343916687668663,196
S1-三大電子 | W1-水回收率,營業費用率,[S1-三大電子 | W1-水回收率] 模型1 | Y=營業費用率,水回收率%,-0.0022,0.8613924973968357,196
S1-三大電子 | W1-水回收率,營業費用率,[S1-三大電子 | W1-水回收率] 模型1 | Y=營業費用率,再生能源使用率,0.0173,0.11212658572194312,196
S1-三大電子 | W1-水回收率,營業費用率,[S1-三大電子 | W1-水回收率] 模型2 | Y=營業費用率,水回收率%,-0.0033,0.8052948882832065,196
S1-三大電子 | W1-水回收率,營業費用率,[S1-三大電子 | W1-水回收率] 模型2 | Y=營業費用率,再生能源使用率,0.0348***,0.0015771416553620465,196
S1-三大電子 | W1-水回收率,營業費用率,[S1-三大電子 | W1-水回收率] 模型2 | Y=營業費用率,水回收率x再生能源,-0.0026**,0.021178598816452343,196
S2-擴充樣本 | W1-水回收率,Tobins_Q_w,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=Tobins Q_w,水回收率%,0.0017,0.5934365585358554,359
S2-擴充樣本 | W1-水回收率,Tobins_Q_w,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=Tobins Q_w,再生能源使用率,0.0030,0.4289273637570499,359
S2-擴充樣本 | W1-水回收率,Tobins_Q_w,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,水回收率%,0.0018,0.5618466769840322,359
S2-擴充樣本 | W1-水回收率,Tobins_Q_w,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,再生能源使用率,-0.0028*,0.056776019420140544,359
S2-擴充樣本 | W1-水回收率,Tobins_Q_w,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,水回收率x再生能源,0.0009***,9.918681514831107e-05,359
S2-擴充樣本 | W1-水回收率,營業費用率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,水回收率%,0.0091,0.6702954998452979,359
S2-擴充樣本 | W1-水回收率,營業費用率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,再生能源使用率,0.0132,0.26833560809522483,359
S2-擴充樣本 | W1-水回收率,營業費用率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,水回收率%,0.0084,0.6906257448134929,359
S2-擴充樣本 | W1-水回收率,營業費用率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,再生能源使用率,0.0350***,5.17135835460536e-05,359
S2-擴充樣本 | W1-水回收率,營業費用率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,水回收率x再生能源,-0.0034***,0.008152662468750238,359
